from_stop_id,to_stop_id,sample_count,matrix_time_seconds,sample_time_seconds
1,2,1,52.941,52.941
1,3,1,55.797,55.797
1,4,1,79.855,79.855
1,5,0,160.115,
1,6,0,192.601,
1,7,0,107.196,
1,8,0,43.817,
1,9,0,180.785,
1,10,0,127.701,
1,11,0,39.57,
1,12,0,48.1,
2,1,1,59.51,59.51
2,3,0,17.41,
2,4,0,28.46,
2,5,0,69.64,
2,6,0,76.6,
2,7,0,56.07,
2,8,0,70.52,
2,9,0,107.85,
2,10,0,74.58,
2,11,0,44.9,
2,12,0,51.37,
3,1,1,45.794,45.794
3,2,0,48.99,
3,4,0,74.24,
3,5,0,93.62,
3,6,0,79.99,
3,7,0,79.45,
3,8,0,57.23,
3,9,0,90.52,
3,10,0,82.52,
3,11,0,68.28,
3,12,0,34.04,
4,1,1,86.655,86.655
4,2,0,49.3,
4,3,0,58.37,
4,5,0,69.12,
4,6,0,56.64,
4,7,0,27.61,
4,8,0,53.5,
4,9,0,82.33,
4,10,0,46.12,
4,11,0,16.45,
4,12,0,25.86,
5,1,0,133.544,
5,2,0,61.47,
5,3,0,49.4,
5,4,0,27.76,
5,6,0,68.82,
5,7,0,39.79,
5,8,0,65.68,
5,9,0,94.51,
5,10,0,37.15,
5,11,0,28.62,
5,12,0,38.03,
6,1,0,84.934,
6,2,0,71.83,
6,3,0,61.84,
6,4,0,41.3,
6,5,0,60.62,
6,7,0,24.52,
6,8,0,50.4,
6,9,0,95.51,
6,10,0,49.58,
6,11,0,25.26,
6,12,0,50.47,
7,1,0,40.791,
7,2,0,47.36,
7,3,0,64.77,
7,4,0,48.96,
7,5,0,90.14,
7,6,0,77.13,
7,8,0,25.89,
7,9,0,102.82,
7,10,0,66.61,
7,11,0,36.94,
7,12,0,46.35,
8,1,0,96.499,
8,2,0,65.05,
8,3,0,52.98,
8,4,0,44.34,
8,5,0,63.73,
8,6,0,51.25,
8,7,0,22.22,
8,9,0,76.94,
8,10,0,40.73,
8,11,0,11.05,
8,12,0,20.46,
9,1,0,110.111,
9,2,0,60.69,
9,3,0,35.4,
9,4,0,12.25,
9,5,0,81.47,
9,6,0,68.99,
9,7,0,39.97,
9,8,0,65.85,
9,10,0,23.04,
9,11,0,28.8,
9,12,0,38.21,
10,1,0,106.627,
10,2,0,84.88,
10,3,0,102.3,
10,4,0,91.36,
10,5,0,114.17,
10,6,0,101.69,
10,7,0,72.66,
10,8,0,50.34,
10,9,0,126.41,
10,11,0,61.49,
10,12,0,69.93,
11,1,0,60.28,
11,2,0,54.88,
11,3,0,42.82,
11,4,0,34.18,
11,5,0,53.56,
11,6,0,41.08,
11,7,0,33.2,
11,8,0,59.09,
11,9,0,71.14,
11,10,0,30.56,
11,12,0,31.44,
12,1,0,78.27,
12,2,0,72.87,
12,3,0,60.81,
12,4,0,40.27,
12,5,0,59.65,
12,6,0,46.02,
12,7,0,51.19,
12,8,0,77.08,
12,9,0,56.55,
12,10,0,48.55,
12,11,0,40.03,
